Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352563,25233,9600.08,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352564,300,2949.00,PATHWAY 2 PROGRESS,540030,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352565,302,2949.00,PATHWAY 2 PROGRESS,540030,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352566,501305,16701.94,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352567,501306,16701.94,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352568,501307,6343.36,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352569,501308,6343.36,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352570,501309,7883.72,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352571,501310,7883.72,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352572,501311,7883.72,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352573,501312,7883.72,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352574,501316,5068.11,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352575,501317,2815.61,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352576,5248,7800.64,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-10-29,3352577,5345,11400.00,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352578,5346,11400.00,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-29,3352580,17307,8214.25,CARE TODAY,382727,Social Community Care,CHILDREN'S HOMES
NORTH SA - CIN S17,9270,CARELEAVERS INDEPENDENT LIVING,2012-10-29,3352587,34252,577.5,LANGUAGE LINE LIMITED,471915,Human Resources,TRANSLATORS & INTERPRETERS
WEST SA - CIN S17,9270,CARELEAVERS INDEPENDENT LIVING,2012-10-29,3352588,34299,765,LANGUAGE LINE LIMITED,471915,Human Resources,TRANSLATORS & INTERPRETERS
PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-29,3352438,J537279 111112,6143.16,EAGLE HOUSE CARE HOME,361977,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2012-10-29,3352438,J537279 111112,1580.00,EAGLE HOUSE CARE HOME,361977,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-29,3352438,J537279 111112,20984.88,EAGLE HOUSE CARE HOME,361977,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-29,3352438,J537279 111112,14860.00,EAGLE HOUSE CARE HOME,361977,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING,9210,CONTINUING NURSING CARE,2012-10-29,3352438,J537279 111112,2022.56,EAGLE HOUSE CARE HOME,361977,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-29,3352439,J539741 111112,14974.00,ROSEBERRY CARE CENTRES GB LTD,368334,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-29,3352440,J540943 111112,7484.86,FULWOOD LODGE NURSING HOME,361775,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-29,3352441,J541429 111112,3569.43,TAPTON COURT NURSING HOME,362076,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,SHORT TERM NURSING CARE,2012-10-29,3352442,J540927 141012,6660.86,ROSEBERRY CARE CENTRES GB LTD,361904,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-29,3352444,J541406 141012,939.86,SPRINGWOOD,361812,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-29,3352445,J541408 141012,3960.00,PRIOR BANK HOUSE,361772,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-29,3352446,J541409 141012,1815.43,WHITE ROSE COURT RES HOME,361964,Social Community Care,RESIDENTIAL CARE HOMES
DRUG & ALCOHOL MH -PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-29,3352447,J541411 141012,1044.46,PHOENIX HOUSE (SHEFFIELD),361773,Medical,DRUG MISUSE - ADVICE & COUNSEL
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-29,3352448,J541412 141012,1843.29,NEWFIELD NURSING HOME,361980,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-29,3352449,J541415 141012,798,ROSEBERRY CARE CENTRES GB LTD,362099,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-29,3352450,J541416 141012,1596.00,NORTON LEES HALL/LODGE,433750,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-29,3352451,J541417 141012,2400.00,P.T BLISS ESQ T/A OPTIMA CARE PARTNERSHI,571560,Social Community Care,RESIDENTIAL CARE HOMES
COMMUNITY BASED CHILDCARE,8440,FEE EXPENSES,2012-10-30,3352002,1700,1500.00,LYNX TRAINING & DEVELOPMENT,509707,Human Resources,TRAINING CENTRES
MEDICAL FEES,8490,OTHER PROFESSIONAL FEES,2012-10-30,3353315,ERS INVOICE74325,1473.37,REDACTED PERSONAL DATA,566834,Social Community Care,DO NOT USE* ADOPT & FOSTERING
COMMUNITY ASSEMBLY SOUTH WEST,9120,OTHER AGENCIES,2012-10-30,3353316,ERS INVOICE74326,5000.00,SHEAF CITIZENS ADVICE BUREAU,316677,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
WORKFORCE DEVELOPMENT,8440,FEE EXPENSES,2012-10-30,3353343,ERS INVOICE74353,3218.00,THE OLD SCHOOL HOUSE NURSERY,311927,Social Community Care,NURSERIES & CRECHES
DISABLED GRANTS,1165,NC&A OTHER,2012-10-30,3353344,ERS INVOICE74354,4703.00,STANNAH LIFT SERVICES LTD.,208625,Social Community Care,STAIRLIFTS - MNFRS & INSTALLER
DISABLED GRANTS,1165,NC&A OTHER,2012-10-30,3353345,ERS INVOICE74355,4520.00,ROGER SELBY BUILDING & PLUMBING CONTRACT,502635,Construction,BUILDERS
DISABLED GRANTS,1165,NC&A OTHER,2012-10-30,3353346,ERS INVOICE74356,3310.00,REDACTED PERSONAL DATA,505403,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DISABLED GRANTS,1165,NC&A OTHER,2012-10-30,3353347,ERS INVOICE74357,4138.20,HULBERTS PLUMBING & HEATING,367914,Construction,PLUMBERS
DISABLED GRANTS,1165,NC&A OTHER,2012-10-30,3353348,ERS INVOICE74358,3630.00,ABBEYDALE SHOWERS,302256,Construction,ELECTRICIANS & ELECTRICAL CONT
DISABLED GRANTS,1165,NC&A OTHER,2012-10-30,3353349,ERS INVOICE74359,4755.00,FOGG & GIBBS,296259,Construction,PLUMBERS
DISABLED GRANTS,1165,NC&A OTHER,2012-10-30,3353351,ERS INVOICE74362,3340.00,TOTAL HYGIENE LTD.,209091,Medical,DISABILITY EQUIPMENT - MNFRS &
CLAIMS,8740,EMPLOYERS LIABILITY,2012-10-30,3353352,ERS INVOICE74363,7000.00,ATTEYS SOLICITORS,335515,Legal Services,SOLICITORS
CLAIMS,8740,PUBLIC LIABILITY,2012-10-30,3353353,ERS INVOICE74364,7750.00,YORKSHIRE'S INJURY LAWYERS,572674,Legal Services,SOLICITORS
MPU PAYMENTS TO TENANTS,6060,IMPROVEMENTS,2012-10-30,3353363,ERS INVOICE74376,2402.85,REDACTED PERSONAL DATA,574480,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
VSP DELIVER,9120,OTHER AGENCIES,2012-10-30,3353365,ERS INVOICE74379,2413.00,WHIRLOW HALL FARM TRUST LTD,318019,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
WORKFORCE DEVELOPMENT,8440,FEE EXPENSES,2012-10-30,3353366,ERS INVOICE74380,1300.00,SCALLYWAGS NURSERY & PRE SCHOOL,366415,Social Community Care,NURSERIES & CRECHES
VSP DELIVER,9120,OTHER AGENCIES,2012-10-30,3353367,ERS INVOICE74381,12350.75,DIMENSIONS TRAINING SOLUTIONS,433070,Education,HAIRDRESSING SCHOOLS
VSP DELIVER,9120,OTHER AGENCIES,2012-10-30,3353368,ERS INVOICE74382,1036.80,ROTHERHAM COLLEGE OF ARTS & TECHNOLOGY,301110,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9120,OTHER AGENCIES,2012-10-30,3353369,ERS INVOICE74383,2838.84,SHEFFIELD COLLEGE,394141,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9120,OTHER AGENCIES,2012-10-30,3353371,ERS INVOICE74385,3125.31,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9120,OTHER AGENCIES,2012-10-30,3353374,ERS INVOICE74389,9774.00,WHITE ROSE SCHOOLS LTD,334662,Education,BEAUTY SCHOOLS
VSP DELIVER,9120,OTHER AGENCIES,2012-10-30,3353377,ERS INVOICE74392,3937.50,THE SOURCE AT MEADOWHALL,350485,Human Resources,TRAINING CENTRES
VSP DELIVER,9120,OTHER AGENCIES,2012-10-30,3353380,ERS INVOICE74397,635,WHIRLOW HALL FARM TRUST LTD,318019,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-10-30,3353381,ERS INVOICE74398,2365.38,A4E LTD,326975,Consultancy,BUSINESS & MANAGEMENT CONSULTA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-10-30,3353382,ERS INVOICE74400,5250.00,SOUTH YORKSHIRE & HALLAMSHIRE CYP,431967,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
CLAIMS,8740,PUBLIC LIABILITY,2012-10-30,3353570,ERS INVOICE74408,1000.00,MRS LANA CORTON,574430,Legal Services,SOLICITORS
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-10-30,3353578,ERS INVOICE74416,3111.50,HEELEY CITY FARM,301277,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LEARNING & YOUNG PEOPLE,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-30,3353579,ERS INVOICE74417,620.78,NICHOLAS ALLAN,574539,Leisure Services,PROFESSIONAL SPEAKERS
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-10-30,3353580,ERS INVOICE74419,1781.25,THE SHARKS,540033,Leisure Services,SPORTS CLUBS & ASSOCIATIONS
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-10-30,3353581,ERS INVOICE74420,1312.50,SIGNPOST PROJECT,486881,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
NOT SCHOOL,8440,FEE EXPENSES,2012-10-30,3299892,2940,1048.38,INCLUSION TRUST,466185,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
NOT SCHOOL,8440,FEE EXPENSES,2012-10-30,3313022,2957,920,INCLUSION TRUST,466185,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SHEAF SQUARE/HOWARD ST,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-30,3331626,111931,5559.68,STEEL LINE LTD,208650,Construction,STEEL FABRICATORS & ERECTORS
CARERS GRANT AMH,9160,PARTNERSHIP CONTRACTS,2012-10-30,3333072,858,5023.00,SHEFFIELD CARERS CENTRE,376051,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
HR ADVISORY,8460,CONSULTANTS FEES,2012-10-30,3340580,3281,547.5,INSIGHT MSC,424598,Consultancy,BUSINESS & MANAGEMENT CONSULTA
GRNI NO LIABILITY VAL / OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-30,3340691,0000013303AA,42954.90,VIRIDOR WASTE MANAGEMENT LTD,375394,Environmental Services,WASTE DISPOSAL SERVICES
EMTAS,8440,FEE EXPENSES,2012-10-30,3343324,L/L/03/2012/13,15345.00,SOMALI COMMUNITY AND CULTURE SCHOOL,493885,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
NORTH TEAM GRANTS,8020,EQUIPMENT LEASE/ RENTAL/ HIRE,2012-10-30,3344067,3024027,593,7 HILLS LEISURE TRUST,566500,Leisure Services,SPORTS GROUND & STADIUM CONTRA
PPG2 - TINSLEY MOBILES,1161,NC&A MAIN CONTRACT,2012-10-30,3344986,1032,2268.00,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER,8350,MISCELLANEOUS EXPENSES,2012-10-30,3345046,6185880,18091.25,AUDIT COMMISSION,389233,Financial Services,AUDITORS
MILLENNIUM SQUARE,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-30,3346198,53777,719.4,OCMIS IRRIGATION (UK) LTD.,395558,Unclassified Trade,IRRIGATION SYSTEMS
ENERGY -SCHEME,6160,GAS - INVOICE,2012-10-30,3346199,A3931833/MSAM36224,221079.25,BRITISH GAS TRADING LTD,204677,Utilities,GAS SUPPLIERS
PEACE GARDENS,6030,REPAIRS AND MTCE - RESPONSIVE,2012-10-30,3346387,53773,4404.00,OCMIS IRRIGATION (UK) LTD.,395558,Unclassified Trade,IRRIGATION SYSTEMS
VACANT PROPERTIES,6030,REPAIRS AND MTCE - RESPONSIVE,2012-10-30,3347253,13410,577.58,PETER HOUSLEY REMOVALS,207489,Transport,REMOVALS & STORAGE - HOUSEHOLD
MILLENNIUM SQUARE,6030,REPAIRS AND MTCE - RESPONSIVE,2012-10-30,3347646,MSGDRAINS,640,NATIONWIDE PUBLIC AREA CLEANING LTD,509846,Cleaning and Janitorial,CLEANING SERVICES - COMMERCIAL
CUSTOMER CARE & COMMUNICATIONS,8490,TRANSLATN/SIGN/INTERPRET FEES,2012-10-30,3348778,3019236,597.3,LANGUAGE LINE LIMITED,206348,Human Resources,TRANSLATORS & INTERPRETERS
WINTER GARDEN,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-30,3349064,88711,800,DEXTER ENGINEERING,547269,Vehicles Not Buses,ENGINE REBUILDING & RECONDITIO
NEWHALL ROAD,1165,NC&A OTHER,2012-10-30,3349094,1043939,1246.38,TELENT (TRAFFIC SIGNALS UK) LTD,503759,Traffic Management,TRAFFIC MANAGEMENT SYSTEMS
PEACE GARDENS,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-30,3349328,24394,764.52,MANSFIELD SAND,573653,Building Construction Materials,"SAND, GRAVEL & OTHER AGGREGATE"
MECHANICAL & ELECTRICAL ENGINE,8620,COMPUTER SOFTWARE LICENCES,2012-10-30,3349741,47425,1240.00,CADLINE LTD,435212,Consultancy,COMPUTER CONSULTANTS
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-30,3349870,12/EYEC)03,60065.00,PRE SCHOOL LEARNING ALLIANCE,339062,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
NORTH AREA ESTATE OFFICERS,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-30,3350038,10905,730.49,COMMERCIAL MOWER SERVICES,449354,Horticultural,LAWNMOWERS & GARDEN MACHINERY
WASTE MANAGEMENT CLIENT,8440,FEE EXPENSES,2012-10-30,3350074,PC/0076/12,1017.50,HARRINGTON LAW LIMITED,574039,Legal Services,SOLICITORS
ADOPTION SERVICE,8420,ADVERTISING AND PUBLICITY,2012-10-30,3350303,BMP/107499,960,REDACTED PERSONAL DATA,329738,Social Community Care,ADOPTION & FOSTERING
FOSTERING DEVELOPMENT,8420,ADVERTISING AND PUBLICITY,2012-10-30,3350304,267386,3103.68,BAUER RADIO LTD,366884,Unclassified Trade,RADIO & TELEVISION STATIONS
ACCOMMODATION,6090,WASTE DISPOSAL,2012-10-30,3350336,13454,1215.00,PETER HOUSLEY REMOVALS,207489,Transport,REMOVALS & STORAGE - HOUSEHOLD
NORTH TEAM GRANTS,8020,EQUIPMENT LEASE/ RENTAL/ HIRE,2012-10-30,3350382,FI00020740,650,INTERSERVE (FACILITIES SERVICES) LTD,318586,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-30,3350800,2013/45,27840.25,ARBOURTHORNE TIDDLYWINKS,365176,Social Community Care,NURSERIES & CRECHES
TRAINING - BROCKWOOD,8390,STATIONERY,2012-10-30,3350894,SINV00238338,711.85,R A ROBERTS (OFFICE EQUIPMENT) LTD,207777,Furniture,OFFICE FURNITURE & EQUIPMENT
CAPITAL GENERAL,9650,OTHER SERVICE RECHARGES,2012-10-30,3351068,971070,3016.66,NEIGHBOURHOODS DIRECTORATE (HOMES),402953,Unclassified Non Trade,LOCAL GOVERNMENT
ICT INFRASTRUCTURE,1197,DIRECT EMPLOYEES FEES,2012-10-30,3351074,5367491,1800.00,MICHAEL PAGE UK LIMITED,347153,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
COMMERCIAL PROCESS TEAM,5750,TRAINING EXPENDITURE,2012-10-30,3351115,2991,1440.00,DUE NORTH LIMITED,572798,Consultancy,COMPUTER SYSTEMS & SOFTWARE (D
GRNI NO LIABILITY VAL / OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-30,3351120,800459652/171,1116.52,YORKSHIRE WATER,362345,Utilities,WATER COMPANIES
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-30,3351331,1139,63750.00,SHEFFIELD INFORMATION LINK,332794,Human Resources,INFORMATION SERVICES
ADOPTION SERVICE,8240,CONFERENCE EXPENSES,2012-10-30,3351358,NOR6181,801.1,REDACTED PERSONAL DATA,383738,Social Community Care,ADOPTION & FOSTERING
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-30,3351388,834958,600,MERERID EDWARDS,565133,Legal Services,BARRISTERS
ASBESTOS MANAGEMENT,1157,DWELLINGS MAIN CONTRACT,2012-10-30,3351471,SH03420/13,614.87,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
PARKHILL DEMOLITION SHM (STH),1157,DWELLINGS MAIN CONTRACT,2012-10-30,3351471,SH03420/13,1320.06,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
ALMO ASBESTOS SURVEYS,1157,DWELLINGS MAIN CONTRACT,2012-10-30,3351471,SH03420/13,25925.71,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
VACANT REPAIRS,6030,ONE OFF STRUCTURAL SURVEY,2012-10-30,3351471,SH03420/13,3810.34,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
FOSTERING DEVELOPMENT,8420,ADVERTISING AND PUBLICITY,2012-10-30,3351526,5421213,1841.00,CBS OUTDOOR LTD,377941,Facilities Management,ADVERTISING - OUTDOOR
RESOURCES MANAGER,5750,TRAINING EXPENDITURE,2012-10-30,3351537,1213/1205,855,APSE,337036,Human Resources,BUSINESS & TRADE ORGANISATIONS
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-30,3351546,1012,630,NEIL CONSTRUCTION,453315,Construction,BUILDING SERVICES
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-30,3351549,1009,735,NEIL CONSTRUCTION,453315,Construction,BUILDING SERVICES
ADOPTION SERVICE,8490,OTHER PROFESSIONAL FEES,2012-10-30,3351608,18598,2500.00,REDACTED PERSONAL DATA,347957,Social Community Care,ADOPTION & FOSTERING
INTER AGENCY FEES,9120,OTHER AGENCIES,2012-10-30,3351609,356/13,1194.00,ADOPTION MATTERS NORTHWEST,340890,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
HEALTH & SAFETY + LICENSING,8400,PUBLICATIONS AND PERIODICALS,2012-10-30,3351613,50758643,862.62,WOLTERS KLUWER (UK)LTD,551341,ICT,DATABASE SERVICES
GRNI NO LIABILITY NOT OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-30,3351808,YD20147178,1638.96,NORTHERN POWERGRID,349525,Utilities,ELECTRICITY COMPANIES
SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2012-10-30,3351869,1594732,712.23,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2012-10-30,3351872,1594669,1074.10,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2012-10-30,3351881,1594716,596.61,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2012-10-30,3351894,1602217,781.35,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
VACANT PROPERTIES,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-30,3351905,895,2480.00,SHEFFIELD TREE CARE,462546,Environmental Services,TREE WORK & FORESTRY SERVICES
GRNI NO LIABILITY VAL / OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-30,3351907,N0057155,2257.45,VALMONT STAINTON LTD,510637,Unclassified Trade,METAL PRODUCTS - FABRICATED
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-30,3351922,833343,1200.00,MR A M WYNNE,487888,Legal Services,BARRISTERS
CORONIAL SERVICES,8100,RECHARGEABLE PURCHASES,2012-10-30,3351977,6019043,5944.32,BARNSLEY HOSPITAL NHS FT,308864,Unclassified Non Trade,HOSPITALS
MULTI SYSTEMIC THERAPY SERVICE,9120,OTHER AGENCIES,2012-10-30,3351999,2100143978,39749.00,SHEFFIELD CHILDRENS HOSPITAL NHS TRUST,306287,Unclassified Non Trade,HOSPITALS
COMMUNITY BASED CHILDCARE,8440,FEE EXPENSES,2012-10-30,3352003,1699,1500.00,LYNX TRAINING & DEVELOPMENT,509707,Human Resources,TRAINING CENTRES
GRNI NO LIABILITY NOT OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-30,3352017,6327,60694.17,DOBSON UK LLP,537998,Construction,LANDSCAPE CONTRACTORS
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2012-10-30,3352020,2042,1280.00,MANOR & CASTLE DEVELOPMENT TRUST,314473,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2012-10-30,3352037,1604302,987.79,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
SNIPS,8180,GRANTS,2012-10-30,3352081,SNIPS017/12,1880.19,STEPHEN HARRISON ACADEMY,479429,Leisure Services,"SNOOKER, BILLIARDS & POOL HALL"
CORONIAL SERVICES,8550,OTHER SERVICES,2012-10-30,3352143,4000331066,1314.85,SHEFFIELD TEACHING HOSPITALS NHS TRUST,308114,Unclassified Non Trade,HOSPITALS
SCHOOL SWIMMING SERVICE,7060,EXTERNAL VEHICLE HIRE,2012-10-30,3352151,11597C,7611.00,LINBURG TOURING LTD,478437,Transport,COACH HIRE
CITY WIDE CONTRACTS,8440,FEE EXPENSES,2012-10-30,3352195,2100144876,59389.00,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,449452,Unclassified Non Trade,HOSPITALS
CITY WIDE CONTRACTS,8440,FEE EXPENSES,2012-10-30,3352196,2100146550,24990.00,NHS PROVIDER SERVICES,455606,Unclassified Non Trade,HEALTH AUTHORITIES
LD PARTNERSHIP CONTRACTS,9160,PARTNERSHIP CONTRACTS,2012-10-30,3352208,5703,5960.00,HEELEY CITY FARM TRUST,346386,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
HR & ORG DEVELOPMENT,8460,CONSULTANTS FEES,2012-10-30,3352219,57250871,9567.59,DLA PIPER UK LLP,441631,Legal Services,LEGAL SERVICES
CITY WIDE CONTRACTS,8440,FEE EXPENSES,2012-10-30,3352233,2100146582,90701.00,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,449452,Unclassified Non Trade,HOSPITALS
CITY WIDE CONTRACTS,8440,FEE EXPENSES,2012-10-30,3352235,2100146580,39264.00,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,449452,Unclassified Non Trade,HOSPITALS
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2012-10-30,3352694,SH03651/3,12900.00,WALTER WEST BUILDERS LTD,564447,Construction,BUILDERS
LANSDOWNE AND HANOVER CLADDING,1161,NC&A MAIN CONTRACT,2012-10-30,3352695,SH03083/16,556200.00,APOLLO PROPERTY SERVICES GROUP,551467,Construction,BUILDERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-30,3352722,12409,635,ANGLIA DNA SERVICES LIMITED,511395,Medical,PATERNITY TESTING (DNA)
