Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,91844.33,University Hospital of South Mcr
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100837835,57061.00,Salford City Council
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100839319,30000.00,The Carbon and Energy Fund Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,20429.08,University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Security,2016-02-01,5100840100,1443.04,Chubb Systems Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-01,5100840198,1015.31,SRM Schoberer Rad Messtechnik GmbH
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973187,817.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973163,693.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973182,649.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-01,1904973128,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904962748,630.00,Thompsons Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904927917,627.00,Department For Work & Pensions
Manchester City Council,Adult Social Care,Furniture,2016-02-01,5100830341,567.78,Zero Six
Manchester City Council,Chief Executives,Compensation Payments,2016-02-01,1904964863,500.00,Redacted Personal Information
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2016-02-01,5100840120,1618.00,VP Bastion Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-17,5100843589,2400.00,David'S Handy Rider,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843259,2398.64,Northern Marking Limited,
Manchester City Council,Chief Executives,Printing,2016-02-17,5100838315,2185.00,Allied Publicity Serv.(Manchester),
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100843311,2175.00,Burnage Good Neighbours,
Manchester City Council,Chief Executives,Car Parking Permits,2016-02-17,5100843670,2086.66,National Car Parks Ltd Season Ticke,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-17,5100843552,2062.79,MCR Blackcab Ltd,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100825409,2040.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100825432,2040.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100825434,2040.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100825436,2040.00,University Of Manchester,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-17,1904998537,2020.30,RIMMERS MUSIC LTD,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100843558,1980.87,Scope,
Manchester City Council,Adult Social Care,Equipment,2016-02-17,5100842279,1971.00,Independent Life Solutions,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100843554,1950.00,People First Housing Association,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100841401,1950.00,Didsbury Good Neighbours Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-17,5100843585,1945.35,LDS Motor Bodies Ltd,
Manchester City Council,Environment and Operations,Professional fees,2016-02-17,5100843635,1834.76,Redacted Personal Information,
Manchester City Council,Chief Executives,I T Provision,2016-02-17,5100843573,1662.00,EMC Computer Systems UK Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843258,1632.37,Northern Marking Limited,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100843446,1610.00,Jacobs UK Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-17,1904992596,1600.00,Horwich Cohen Coghlan Solicitors,
Manchester City Council,Housing General Fund,Surplus property Fees,2016-02-17,1904994086,1584.00,TM Fortis,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100842199,1583.00,Levenshulme Good Neighbours,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-17,5100843550,1539.50,MCR Blackcab Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100842823,1520.25,4CT Limited,
Manchester City Council,Leasing,Lease Payments,2016-02-17,5100843572,1515.37,Xerox Finance Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100843446,1503.29,Jacobs UK Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100842421,1500.00,Afro Carribean Care Group,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100842813,1500.00,George House Trust,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100842165,1500.00,Ladybarn Community Association,
Manchester City Council,Corporate Services,Compensation Payments,2016-02-17,1904998575,1371.00,HMCTS (Manchester),
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843265,1350.00,Northern Marking Limited,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843273,1350.00,Northern Marking Limited,
Manchester City Council,Chief Executives,ICT Support & Maintenance,2016-02-17,5100841131,1199.98,Ibm United Kingdom Financial Serv.L,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-17,5100843796,1168.87,Bury M.B.C.,
Manchester City Council,Regeneration Finance,Planning Application Fees,2016-02-17,1904991022,1155.00,Tang _ Assiciates Ltd.,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-17,5100843597,1126.21,LDS Motor Bodies Ltd,
Manchester City Council,Environment and Operations,Legal Fees,2016-02-17,5100843574,1060.00,Redacted Personal Information,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100842168,1050.00,Beverley Clifton Morris Limited,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-17,5100843650,1038.50,R & M Developments Ltd,
Manchester City Council,Environment and Operations,Legal Fees,2016-02-17,5100843575,1035.00,Redacted Personal Information,
Manchester City Council,Housing General Fund,Surplus property Fees,2016-02-17,5100843446,1015.00,Jacobs UK Ltd,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-17,1904994076,1014.12,Central & NW London NHS Foundation,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-17,5100843446,1010.75,Jacobs UK Ltd,
Manchester City Council,Corporate Services,Compensation Payments,2016-02-17,1904998573,980.00,HMCTS (Manchester),
Manchester City Council,Housing General Fund,Surplus property Fees,2016-02-17,5100843446,975.00,Jacobs UK Ltd,
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,2016-02-17,5100843561,916.40,Assessment & Qualifications Allianc,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-17,5100843668,916.30,Proactive Personnel Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-17,5100843665,912.08,New Leaf Supporting Independance,
Manchester City Council,Environment and Operations,Contract Cleaning External,2016-02-17,5100842222,876.00,Ramora Ltd,
Manchester City Council,Corporate Services,Compensation Payments,2016-02-17,1904998572,873.00,HMCTS (Manchester),
Manchester City Council,Adult Social Care,Payments for services,2016-02-17,5100843746,870.00,Bibby Factors Manchester Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-17,5100843264,853.56,Northern Marking Limited,
Manchester City Council,Leasing,Equipment Operating Lease,2016-02-17,5100843572,837.03,Xerox Finance Ltd,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843742,800.00,Ideas4learning Ltd,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843743,800.00,Ideas4learning Ltd,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843108,780.00,The Manchester College,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843109,780.00,The Manchester College,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843110,780.00,The Manchester College,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843499,780.00,The Manchester College,
Manchester City Council,Regeneration Finance,Compensation Payments,2016-02-17,1904991037,770.00,Russell & Russell Solicitors,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-17,5100843681,760.13,Irwell Valley Housing Association,
Manchester City Council,Regeneration Finance,Compensation Payments,2016-02-17,1904991031,720.00,Russell & Russell Solicitors,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2016-02-17,1904993703,710.00,24-7 Drama,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-17,5100843662,699.54,New Leaf Supporting Independance,
Manchester City Council,Manchester Leisure,I T Provision,2016-02-17,1904998576,699.04,PAYPAL,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100842046,675.00,The Lesbian & Gay Foundation,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100842030,668.50,The Generation Project,
Manchester City Council,Adult Social Care,Foster Payments,2016-02-17,1904999826,666.00,Redacted Personal Information,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-17,1904994075,647.00,Department For Work & Pensions,
Manchester City Council,Housing Revenue Account,Professional fees,2016-02-17,5100843446,644.00,Jacobs UK Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-17,1904993740,627.00,Department For Work & Pensions,
Manchester City Council,Chief Executives,Advertising,2016-02-17,5100843498,620.00,Skyline Ltd,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-17,1904993685,615.00,Department For Work & Pensions,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-17,1904993720,615.00,Department For Work & Pensions,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,2016-02-17,5100842819,613.40,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-17,5100841483,600.00,Manchester Black Health Forum,
Manchester City Council,Chief Executives,Advertising,2016-02-17,1904998565,596.79,Facebook (CARD ONLY),
Manchester City Council,Environment and Operations,Equipment,2016-02-17,5100843209,588.00,Instarmac Group Ltd,
Manchester City Council,Adult Social Care,Home Care,2016-02-17,5100843639,581.16,Bright Horizons Family Solutions,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-17,5100843745,574.14,Central & NW London NHS Foundation,
Manchester City Council,Adult Social Care,Home Care,2016-02-17,5100843641,534.27,Bright Horizons Family Solutions,
Manchester City Council,Chief Executives,Car Parking Permits,2016-02-17,5100843671,1043.34,National Car Parks Ltd Season Ticke,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843623,2040.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843624,2040.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843625,2040.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-17,5100843627,2040.00,University Of Manchester,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-17,5100843785,32676.14,Northwards Housing Limited,
Manchester City Council,Childrens Services,Building Works,2016-02-17,5100843872,69000.00,Bright Futures,
Manchester City Council,Collection Fund,Ctax Preceptr Pymnts,2016-02-17,1904587310,1286275.00,GMPCC (PRECEPTS),
Manchester City Council,Collection Fund,Ctax Preceptr Pymnts,2016-02-17,1904548503,486808.00,Greater Manchester Fire & Rescue,
Manchester City Council,Collection Fund,Bus Rate - Preceptor,2016-02-17,1904548503,265850.00,Greater Manchester Fire & Rescue,
Manchester City Council,Environment and Operations,Refuse Collection,2016-02-18,5100842216,174426.92,Redgate Holdings Ltd,
Manchester City Council,Environment and Operations,Refuse Collection,2016-02-18,5100842220,171406.99,Redgate Holdings Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-18,5100842104,123150.47,Carillion Civil Engineering,
Manchester City Council,Hospitality + Trading Services,Internal Repairs and Maintenance for buildings,2016-02-18,5100843836,46133.84,Manchester Working Ltd,
Manchester City Council,Regeneration Finance,Rents,2016-02-18,1904991053,44329.00,CBRE Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-18,5100843280,40000.00,PRP Architects LLP,
Manchester City Council,Hospitality + Trading Services,Refuse Collection,2016-02-18,5100843583,24280.70,Fairfield Environmental Serv Ltd,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,2016-02-18,1905000267,23811.54,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-18,5100843932,19331.00,Fairfield High School for Girls,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-18,5100843988,12504.02,Fast Hire UK,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-18,5100843508,11272.16,People First Housing Association,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-18,5100843266,10761.25,Great Places Housing Association,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,2016-02-18,1905000334,10452.62,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-18,5100842240,9786.00,Richmond Fellowship,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-18,5100843799,9750.00,One Education Ltd,
Manchester City Council,Hospitality + Trading Services,Water Service Charges - Metered,2016-02-18,1905000264,9385.10,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-02-18,5100843983,8990.00,Redacted Personal Information,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,2016-02-18,1905000307,8145.43,United Utilities Water Plc,
Manchester City Council,Manchester Leisure,Other Grants Reimbursements and Contributions,2016-02-18,1904993730,8127.00,Sport England,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,2016-02-18,1905000260,7947.08,United Utilities Water Plc,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,2016-02-18,1905000344,7753.09,United Utilities Water Plc,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-18,5100842192,7725.76,HCL Social Care,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-18,5100843934,7645.31,Semester Recruitment Ltd,
Manchester City Council,Manchester Leisure,Consultants Fees,2016-02-18,5100843216,7546.80,Peter Neal Consulting Ltd,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-18,5100843726,7320.16,University Hospital of South Mcr,
Manchester City Council,Environment and Operations,Professional fees,2016-02-18,5100840577,6815.90,Daly Drains Ltd,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-02-18,5100842507,6740.00,Weaste Hotel,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-18,5100843874,6662.23,Making Space,
Manchester City Council,Adult Social Care,Payment of School Budget Share,2016-02-18,5100843857,6030.00,Camberwell Park School,
Manchester City Council,Corporate Services,Postage,2016-02-18,5100842721,5422.04,Royal Mail Group Plc,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-18,5100843683,4980.00,Irwell Valley Housing Association,
Manchester City Council,Chief Executives,Advertising,2016-02-18,5100843034,4803.21,Trinity Mirror NW2 Ltd,
