Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated,GC Supplier red,VAT RegNo,Report,Type
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338155,2,201202,NEWEY & EYRE LTD,447.74,2012-05-24,6031608GC,614213680,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42331812,2,201202,PLAND STAINLESS LTD,3990.13,2012-05-01,3236400GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332689,2,201202,WOLSELEY UK LTD,461.42,2012-05-03,6048924GC,GB 362 0233 93,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42337856,2,201202,PLAND STAINLESS LTD,4294.20,2012-05-24,3236400GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42337861,2,201202,PLAND STAINLESS LTD,3944.84,2012-05-24,3236400GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42337760,2,201202,EDMUNDSON ELECTRICAL LTD,760.61,2012-05-23,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332688,2,201202,WOLSELEY UK LTD,461.92,2012-05-03,6048924GC,GB 362 0233 93,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338597,2,201202,EDMUNDSON ELECTRICAL LTD,1170.00,2012-05-25,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338611,2,201202,EDMUNDSON ELECTRICAL LTD,1416.00,2012-05-25,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336823,2,201202,CLEVELAND CABLE CO LTD,2129.87,2012-05-21,6236061GC,317446263,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339121,2,201202,ARMAH SWITCHGEAR LTD,5366.00,2012-05-29,3007473GC,569498075,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333760,2,201202,WERNICK HIRE LTD,432.15,2012-05-09,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336108,2,201202,LAIDLAW SOLUTIONS LTD,434.50,2012-05-18,6407664GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338116,2,201202,EDMUNDSON ELECTRICAL LTD,1255.45,2012-05-24,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42331958,2,201202,EDMUNDSON ELECTRICAL LTD,1205.29,2012-05-01,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336360,2,201202,LAIDLAW SOLUTIONS LTD,434.50,2012-05-18,6407664GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332931,2,201202,NEWEY & EYRE LTD,397.00,2012-05-04,6031608GC,614213680,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336110,2,201202,LAIDLAW SOLUTIONS LTD,434.50,2012-05-18,6407664GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335710,2,201202,EDMUNDSON ELECTRICAL LTD,1057.16,2012-05-16,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339242,2,201202,NEWEY & EYRE LTD,588.00,2012-05-30,6031608GC,614213680,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42331959,2,201202,EDMUNDSON ELECTRICAL LTD,1029.69,2012-05-01,6013965GC,GB 338 2468 41,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332932,2,201202,NEWEY & EYRE LTD,397.00,2012-05-04,6031608GC,614213680,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336359,2,201202,LAIDLAW SOLUTIONS LTD,434.50,2012-05-18,6407664GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339245,2,201202,NEWEY & EYRE LTD,588.00,2012-05-30,6031608GC,614213680,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339359,2,201202,CORMETON ELECTRONICS LTD,5573.78,2012-05-30,3152397GC,500 0201 47,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339360,2,201202,CORMETON ELECTRONICS LTD,5655.72,2012-05-30,3152397GC,500 0201 47,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338963,2,201202,CORMETON ELECTRONICS LTD,2695.02,2012-05-28,3152397GC,500 0201 47,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338962,2,201202,CORMETON ELECTRONICS LTD,2695.02,2012-05-28,3152397GC,500 0201 47,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339027,2,201202,CORMETON ELECTRONICS LTD,2695.02,2012-05-28,3152397GC,500 0201 47,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339361,2,201202,CORMETON ELECTRONICS LTD,2626.63,2012-05-30,3152397GC,500 0201 47,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338087,2,201202,NEWEY & EYRE LTD,467.86,2012-05-24,6031608GC,614213680,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338170,2,201202,EYRE & ELLISTON LTD T/A EGS,5186.85,2012-05-24,6421560GC,295 3910 31,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332261,2,201202,RIXONWAY KITCHENS LTD,397.34,2012-05-02,6075240GC,313530990,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42333123,2,201202,WOLSELEY UK LTD,986.50,2012-05-04,6048924GC,GB 362 0233 93,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335683,2,201202,BRICK DOCTOR UK,700.00,2012-05-16,3228480GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336313,2,201202,AKW MEDI CARE LTD,551.99,2012-05-18,3007593GC,GB 001 0474 46,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42335726,2,201202,TUNSTALL HEALTHCARE (UK) LTD,3968.55,2012-05-16,3179982GC,GB1828797 0900,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42334153,3,201202,W T INTERIORS,3150.00,2012-05-10,3093087GC,,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42335433,3,201202,W D DAVISON & SONS,2784.27,2012-05-15,3093969GC,300 9213 11,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42334153,4,201202,W T INTERIORS,5750.50,2012-05-10,3093087GC,,TRDATA1R,Revenue
Local Environmental Services,Third Party Payments,Third Party Payments,42335433,4,201202,W D DAVISON & SONS,409.36,2012-05-15,3093969GC,300 9213 11,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338744,2,201202,CHIRMARN LTD,1680.00,2012-05-28,6009771GC,907 9273 00,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336799,6,201202,TYNEDALE ROADSTONE LTD,182.40,2012-05-21,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338062,4,201202,TYNEDALE ROADSTONE LTD,406.02,2012-05-24,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335783,2,201202,FITZPATRICK WOOLMER DESIGN & PUBLISHING LTD,5261.20,2012-05-16,3169347GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335756,2,201202,TOFCO  LTD,434.28,2012-05-16,6043467GC,178 7921 10,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335759,2,201202,REDACTED - Personal Information,440.00,2012-05-16,6075804GC,178435434,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334174,12,201202,GEORGE VARDY LTD,238.00,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333260,7,201202,WERNICK HIRE LTD,50.00,2012-05-04,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333845,2,201202,PREMIER TRAFFIC MANAGEMENT,866.00,2012-05-09,6409893GC,759 0836 93,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333846,2,201202,PREMIER TRAFFIC MANAGEMENT,850.00,2012-05-09,6409893GC,759 0836 93,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333849,2,201202,PREMIER TRAFFIC MANAGEMENT,850.00,2012-05-09,6409893GC,759 0836 93,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332350,6,201202,TYNEDALE ROADSTONE LTD,180.00,2012-05-02,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335782,2,201202,LEAFIELD ENVIRONMENTAL LTD,1659.16,2012-05-16,3214188GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334174,8,201202,GEORGE VARDY LTD,838.50,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42336734,6,201202,GEORGE VARDY LTD,817.00,2012-05-21,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332780,5,201202,TYNEDALE ROADSTONE LTD,73.20,2012-05-03,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338813,6,201202,JOBLING PURSER LTD,77.80,2012-05-28,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334176,4,201202,GEORGE VARDY LTD,1080.50,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334176,6,201202,GEORGE VARDY LTD,838.50,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334179,4,201202,GEORGE VARDY LTD,754.50,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336797,2,201202,TYNEDALE ROADSTONE LTD,612.00,2012-05-21,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42336728,2,201202,SPEEDY ASSET SERVICES LIMITED,672.00,2012-05-21,3186612GC,151 629 750,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332350,8,201202,TYNEDALE ROADSTONE LTD,128.64,2012-05-02,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332626,2,201202,TYNEDALE ROADSTONE LTD,824.20,2012-05-03,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332629,2,201202,TYNEDALE ROADSTONE LTD,933.28,2012-05-03,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336799,5,201202,TYNEDALE ROADSTONE LTD,195.64,2012-05-21,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336801,3,201202,TYNEDALE ROADSTONE LTD,720.52,2012-05-21,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336803,2,201202,TYNEDALE ROADSTONE LTD,1049.92,2012-05-21,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339169,3,201202,TYNEDALE ROADSTONE LTD,333.66,2012-05-29,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339169,4,201202,TYNEDALE ROADSTONE LTD,489.60,2012-05-29,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42333269,3,201202,SWINBURNE HIRE,632.00,2012-05-04,3009036GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334178,5,201202,GEORGE VARDY LTD,364.00,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42336735,2,201202,GEORGE VARDY LTD,1546.50,2012-05-21,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333260,5,201202,WERNICK HIRE LTD,167.14,2012-05-04,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334174,7,201202,GEORGE VARDY LTD,516.00,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334178,6,201202,GEORGE VARDY LTD,172.00,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333264,3,201202,WERNICK HIRE LTD,507.14,2012-05-04,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42331942,2,201202,SIGNATURE LTD,1324.46,2012-05-01,6187650GC,GB 369 7775 71,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42333621,2,201202,LEAFIELD ENVIRONMENTAL LTD,815.57,2012-05-09,3214188GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335715,6,201202,TYNEDALE ROADSTONE LTD,124.80,2012-05-16,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42335715,7,201202,TYNEDALE ROADSTONE LTD,164.82,2012-05-16,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334176,7,201202,GEORGE VARDY LTD,112.00,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334177,3,201202,GEORGE VARDY LTD,2213.00,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42334481,2,201202,GAP GROUP LTD,447.60,2012-05-11,6019296GC,259793107,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334164,2,201202,CONSETT STEEL SERVICES LTD,1912.00,2012-05-11,6364629GC,633422367,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42336714,2,201202,SPEEDY ASSET SERVICES LIMITED,380.00,2012-05-18,3186612GC,151 629 750,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332350,7,201202,TYNEDALE ROADSTONE LTD,181.20,2012-05-02,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332352,7,201202,JOBLING PURSER LTD,349.00,2012-05-02,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332352,12,201202,JOBLING PURSER LTD,349.00,2012-05-02,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332407,9,201202,JOBLING PURSER LTD,139.60,2012-05-02,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334177,4,201202,GEORGE VARDY LTD,838.50,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334178,8,201202,GEORGE VARDY LTD,1526.50,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Transport,Contract Hire,42333264,4,201202,WERNICK HIRE LTD,50.00,2012-05-04,6383541GC,GB250557077,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42337583,6,201202,JOBLING PURSER LTD,335.48,2012-05-23,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42337584,4,201202,JOBLING PURSER LTD,239.63,2012-05-23,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339352,6,201202,JOBLING PURSER LTD,161.26,2012-05-30,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339363,8,201202,JOBLING PURSER LTD,239.63,2012-05-30,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336796,4,201202,TYNEDALE ROADSTONE LTD,123.60,2012-05-21,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42336796,5,201202,TYNEDALE ROADSTONE LTD,60.30,2012-05-21,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338263,6,201202,TYNEDALE ROADSTONE LTD,169.14,2012-05-24,3089391GC,733 847 414,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339131,7,201202,JOBLING PURSER LTD,116.70,2012-05-29,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42339363,11,201202,JOBLING PURSER LTD,194.50,2012-05-30,6413799GC,556185325,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42338741,2,201202,NUFINS LTD,453.48,2012-05-28,6071229GC,35389522,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42337186,2,201202,COUPELINE,12552.52,2012-05-22,3034947GC,991 0710 22,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,Other Running Costs,42334176,5,201202,GEORGE VARDY LTD,344.00,2012-05-10,6069267GC,176644827,TRDATA1R,Revenue
Local Environmental Services,Premises,Rep & Maint,42333392,2,201202,FORGE LEISURE LTD,1781.00,2012-05-09,3080484GC,915 8805 03,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42332370,2,201202,SCHNEIDER ELECTRIC LTD,1680.00,2012-05-02,3003585GC,GB301428505,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334740,2,201202,CHUBB FIRE LIMITED,374.44,2012-05-14,3179151GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334937,2,201202,KABLEFREE LTD,980.00,2012-05-14,3221208GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334940,2,201202,KABLEFREE LTD,980.00,2012-05-14,3221208GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334941,2,201202,KABLEFREE LTD,490.00,2012-05-14,3221208GC,,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334943,2,201202,SCHNEIDER ELECTRIC LTD,1763.33,2012-05-14,3003585GC,GB301428505,TRDATA1R,Revenue
Local Environmental Services,Supplies and Services,"Furn, Equip & Mats",42334946,2,201202,SCHNEIDER ELECTRIC LTD,1763.33,2012-05-14,3003585GC,GB301428505,TRDATA1R,Revenue
